Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Test Loss (every 10 epochs),Test Accuracy (every 10 epochs)
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.1226587295532227, 1.8696614503860474, 0.9273520708084106, 0.5350766181945801, 0.2889973223209381, 0.2052062302827835, 0.176805317401886, 0.10125567764043808, 0.06985823065042496, 0.07315558195114136, 0.05977731570601463, 0.04963183030486107, 0.06447675079107285, 0.029215974733233452, 0.024749180302023888, 0.02125401236116886, 0.018496494740247726, 0.01707138866186142, 0.01562228798866272, 0.01434311456978321, 0.013032462447881699, 0.012260571122169495, 0.011589504778385162, 0.011015763506293297, 0.010274911299347878]","[2.5899393558502197, 1.6035202741622925, 1.1185386180877686, 0.869413435459137, 0.8109597563743591, 0.7523888349533081, 0.7556332945823669, 0.8575546741485596, 0.7980735301971436, 0.7952141165733337, 0.8420565128326416, 0.7531417608261108, 0.7941628694534302, 0.7916246056556702, 0.8279713988304138, 0.7944393157958984, 0.8130603432655334, 0.8290241956710815, 0.8351958394050598, 0.8409605026245117, 0.859764039516449, 0.8683488965034485, 0.8774496912956238, 0.8852205872535706, 0.8939263224601746]","[0.2030075192451477, 0.7443609237670898, 0.8947368264198303, 0.9172932505607605, 0.9586465954780579, 0.9624060392379761, 0.9548872113227844, 0.9924812316894531, 0.9924812316894531, 0.9887217879295349, 0.9924812316894531, 0.9962406158447266, 0.9924812316894531, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.41791045665740967, 0.7014925479888916, 0.746268630027771, 0.7910447716712952, 0.7761194109916687, 0.7761194109916687, 0.8059701323509216, 0.7910447716712952, 0.8059701323509216, 0.8208954930305481, 0.7910447716712952, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481]","[None, None, None, None, 3.2337586879730225, None, None, None, None, 3.915236234664917, None, None, None, None, 4.22900915145874, None, None, None, None, 4.50230598449707, None, None, None, None, 4.681823253631592]","[None, None, None, None, 0.32870370149612427, None, None, None, None, 0.36574074625968933, None, None, None, None, 0.37037035822868347, None, None, None, None, 0.375, None, None, None, None, 0.375]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.214893341064453, 2.3007776737213135, 1.4930691719055176, 0.9056962728500366, 0.5328361392021179, 0.335035115480423, 0.2171260565519333, 0.1501014083623886, 0.10337086766958237, 0.07862672954797745, 0.06054535508155823, 0.05183807387948036, 0.04349631816148758, 0.03905206546187401, 0.03454595431685448, 0.03142255172133446, 0.029202455654740334, 0.02696380764245987, 0.024954169988632202, 0.02311142161488533, 0.021160626783967018, 0.02028079330921173, 0.018672682344913483, 0.017574628815054893, 0.016732754185795784]","[2.789874792098999, 2.08864688873291, 1.449729084968567, 1.0807223320007324, 0.8526602983474731, 0.7220516204833984, 0.6387819647789001, 0.6886890530586243, 0.745112955570221, 0.6737290024757385, 0.7168297171592712, 0.6971688270568848, 0.6873822212219238, 0.7167850136756897, 0.7392686009407043, 0.7303177714347839, 0.7288805246353149, 0.7286434769630432, 0.7395859360694885, 0.7382066249847412, 0.7527231574058533, 0.7345643639564514, 0.7514649629592896, 0.7356597781181335, 0.7354112267494202]","[0.16165412962436676, 0.6992481350898743, 0.9097744226455688, 0.951127827167511, 0.9736841917037964, 0.969924807548523, 0.9962406158447266, 0.9887217879295349, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34328359365463257, 0.6865671873092651, 0.8059701323509216, 0.7910447716712952, 0.7910447716712952, 0.7910447716712952, 0.8059701323509216, 0.8358209133148193, 0.8358209133148193, 0.8358209133148193, 0.8059701323509216, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8358209133148193, 0.8358209133148193, 0.8358209133148193, 0.8507462739944458]","[None, None, None, None, 2.9634718894958496, None, None, None, None, 3.5977962017059326, None, None, None, None, 3.9069881439208984, None, None, None, None, 4.123756408691406, None, None, None, None, 4.305363178253174]","[None, None, None, None, 0.3472222089767456, None, None, None, None, 0.35648149251937866, None, None, None, None, 0.35648149251937866, None, None, None, None, 0.35648149251937866, None, None, None, None, 0.35648149251937866]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.373352527618408, 2.8397281169891357, 2.233328342437744, 1.7040997743606567, 1.2174171209335327, 0.8527829051017761, 0.6263571977615356, 0.4488911032676697, 0.32131755352020264, 0.2292480319738388, 0.1756151169538498, 0.13047082722187042, 0.1051933616399765, 0.09114712476730347, 0.08549356460571289, 0.0822470635175705, 0.05844664201140404, 0.05389676243066788, 0.048536136746406555, 0.04388632997870445, 0.03993641957640648, 0.037777289748191833, 0.03450952470302582, 0.032845403999090195, 0.030319999903440475]","[3.1875975131988525, 2.669480323791504, 2.1822052001953125, 1.7599213123321533, 1.4374889135360718, 1.2075695991516113, 0.9996194243431091, 0.8914793729782104, 0.8362275958061218, 0.7892225384712219, 0.8645068407058716, 0.8776297569274902, 0.8040516972541809, 0.8453682065010071, 0.7256243824958801, 0.76387619972229, 0.8721688985824585, 0.8755321502685547, 0.8454685807228088, 0.8643842935562134, 0.896932065486908, 0.9154300689697266, 0.9112297892570496, 0.9038390517234802, 0.9064415693283081]","[0.0714285746216774, 0.4285714328289032, 0.7819548845291138, 0.8909774422645569, 0.9097744226455688, 0.9436089992523193, 0.9661654233932495, 0.9774436354637146, 0.9774436354637146, 0.9962406158447266, 0.9924812316894531, 1.0, 0.9962406158447266, 0.9962406158447266, 0.9962406158447266, 0.9924812316894531, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2238806039094925, 0.5671641826629639, 0.6716417670249939, 0.7761194109916687, 0.7611940503120422, 0.8059701323509216, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.7761194109916687, 0.8059701323509216, 0.8208954930305481, 0.8059701323509216, 0.8507462739944458, 0.8507462739944458, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8208954930305481, 0.8059701323509216, 0.8059701323509216, 0.8059701323509216, 0.8059701323509216, 0.8059701323509216]","[None, None, None, None, 2.726377248764038, None, None, None, None, 3.102747678756714, None, None, None, None, 3.54017972946167, None, None, None, None, 3.8420748710632324, None, None, None, None, 4.027329444885254]","[None, None, None, None, 0.3333333432674408, None, None, None, None, 0.36574074625968933, None, None, None, None, 0.3611111044883728, None, None, None, None, 0.3611111044883728, None, None, None, None, 0.35648149251937866]"
