Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Test Loss (every 10 epochs),Test Accuracy (every 10 epochs)
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[121.04214477539062, 241.69361877441406, 72.246826171875, 88.0467300415039, 81.41948699951172, 72.84721374511719, 81.39310455322266, 87.05104064941406, 84.50445556640625, 90.5277328491211, 77.73192596435547, 70.5538101196289, 71.71147155761719, 81.0487289428711, 76.40911865234375, 61.440555572509766, 77.76930236816406, 79.93824768066406, 63.433284759521484, 72.57115936279297, 87.4719009399414, 100.0186767578125, 93.20890808105469, 86.92373657226562, 72.56707000732422, 79.51002502441406, 94.03900146484375, 83.87224578857422, 71.25891876220703, 77.30461120605469]","[226.4305419921875, 54.042083740234375, 84.35409545898438, 67.7632064819336, 58.83169937133789, 88.4299087524414, 95.05220031738281, 65.71924591064453, 86.23727416992188, 80.35736846923828, 69.11723327636719, 48.03340148925781, 82.72957611083984, 78.29898071289062, 63.88507843017578, 64.41021728515625, 102.81829071044922, 51.31179428100586, 63.4371223449707, 79.92269897460938, 94.25586700439453, 71.36113739013672, 121.5974349975586, 63.02925491333008, 84.46210479736328, 92.42639923095703, 79.5595703125, 55.27800750732422, 61.06745910644531, 78.11124420166016]","[0.030075188726186752, 0.02255639061331749, 0.033834587782621384, 0.02631578966975212, 0.033834587782621384, 0.033834587782621384, 0.02255639061331749, 0.03759398311376572, 0.04135338217020035, 0.030075188726186752, 0.01879699155688286, 0.015037594363093376, 0.04135338217020035, 0.030075188726186752, 0.03759398311376572, 0.033834587782621384, 0.033834587782621384, 0.02255639061331749, 0.033834587782621384, 0.030075188726186752, 0.02631578966975212, 0.015037594363093376, 0.030075188726186752, 0.030075188726186752, 0.03759398311376572, 0.01879699155688286, 0.02631578966975212, 0.02255639061331749, 0.03759398311376572, 0.02255639061331749]","[0.02985074557363987, 0.014925372786819935, 0.02985074557363987, 0.02985074557363987, 0.05970149114727974, 0.014925372786819935, 0.05970149114727974, 0.04477611929178238, 0.05970149114727974, 0.014925372786819935, 0.05970149114727974, 0.02985074557363987, 0.014925372786819935, 0.02985074557363987, 0.04477611929178238, 0.05970149114727974, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.05970149114727974, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.04477611929178238, 0.04477611929178238, 0.04477611929178238, 0.0, 0.014925372786819935]","[None, None, None, None, 45.24624252319336, None, None, None, None, 64.40818786621094, None, None, None, None, 70.58665466308594, None, None, None, None, 84.68370056152344, None, None, None, None, 63.37558364868164, None, None, None, None, 89.76417541503906]","[None, None, None, None, 0.0833333358168602, None, None, None, None, 0.009259259328246117, None, None, None, None, 0.023148147389292717, None, None, None, None, 0.032407406717538834, None, None, None, None, 0.14814814925193787, None, None, None, None, 0.05092592537403107]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[149.81173706054688, 257.431640625, 273.45379638671875, 152.08026123046875, 75.91223907470703, 65.65283203125, 66.29281616210938, 81.01607513427734, 69.4634780883789, 60.172080993652344, 58.43136978149414, 47.427711486816406, 47.51838684082031, 50.23382568359375, 50.13972854614258, 56.03428649902344, 62.90890884399414, 60.288970947265625, 57.82672119140625, 67.80281829833984, 80.80912780761719, 75.3633804321289, 70.26271057128906, 80.83372497558594, 75.8140640258789, 86.87967681884766, 71.16453552246094, 70.27277374267578, 66.70259857177734, 69.1235122680664]","[183.90603637695312, 305.5948181152344, 185.93955993652344, 94.9801025390625, 54.344295501708984, 63.399532318115234, 76.80248260498047, 67.03782653808594, 53.78852462768555, 58.7071647644043, 45.462913513183594, 46.59101867675781, 44.84777069091797, 46.89278030395508, 60.272613525390625, 54.4053955078125, 60.215450286865234, 56.80534362792969, 50.855838775634766, 79.0425033569336, 67.93043518066406, 71.61064910888672, 76.38411712646484, 63.05790710449219, 79.8013916015625, 98.50262451171875, 62.655921936035156, 67.93416595458984, 71.09889221191406, 67.33232116699219]","[0.04511278122663498, 0.015037594363093376, 0.030075188726186752, 0.04135338217020035, 0.030075188726186752, 0.02255639061331749, 0.04511278122663498, 0.02631578966975212, 0.033834587782621384, 0.01879699155688286, 0.04511278122663498, 0.03759398311376572, 0.02255639061331749, 0.01879699155688286, 0.03759398311376572, 0.030075188726186752, 0.02631578966975212, 0.03759398311376572, 0.02631578966975212, 0.030075188726186752, 0.030075188726186752, 0.011278195306658745, 0.02255639061331749, 0.02255639061331749, 0.033834587782621384, 0.02255639061331749, 0.030075188726186752, 0.011278195306658745, 0.02255639061331749, 0.01879699155688286]","[0.05970149114727974, 0.05970149114727974, 0.014925372786819935, 0.014925372786819935, 0.05970149114727974, 0.05970149114727974, 0.02985074557363987, 0.05970149114727974, 0.04477611929178238, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.02985074557363987, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.05970149114727974, 0.05970149114727974, 0.02985074557363987, 0.014925372786819935, 0.02985074557363987, 0.05970149114727974, 0.02985074557363987, 0.04477611929178238, 0.02985074557363987, 0.05970149114727974, 0.02985074557363987, 0.02985074557363987, 0.05970149114727974]","[None, None, None, None, 75.00147247314453, None, None, None, None, 55.91952133178711, None, None, None, None, 70.49712371826172, None, None, None, None, 63.9990234375, None, None, None, None, 73.1075439453125, None, None, None, None, 87.07074737548828]","[None, None, None, None, 0.009259259328246117, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.004629629664123058, None, None, None, None, 0.0416666679084301, None, None, None, None, 0.023148147389292717, None, None, None, None, 0.013888888992369175]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[92.26329040527344, 169.9311065673828, 282.042236328125, 411.0545959472656, 314.1889953613281, 208.80392456054688, 202.7543182373047, 137.19784545898438, 122.48120880126953, 110.52991485595703, 110.7215576171875, 90.64598846435547, 89.25527954101562, 93.16924285888672, 85.39291381835938, 74.51688385009766, 55.14105224609375, 61.399147033691406, 55.679908752441406, 54.16914749145508, 50.56135177612305, 43.36608123779297, 39.408592224121094, 47.88887405395508, 47.23246765136719, 52.98666763305664, 56.62092971801758, 63.52627182006836, 66.0647201538086, 60.669307708740234]","[143.35194396972656, 263.816650390625, 394.1368103027344, 374.40789794921875, 249.4429473876953, 211.89715576171875, 136.5363006591797, 98.78739166259766, 91.66512298583984, 90.33747100830078, 98.71533203125, 85.07077026367188, 83.70044708251953, 72.07172393798828, 71.6078872680664, 45.399322509765625, 61.747406005859375, 51.56597900390625, 57.03921890258789, 53.43806076049805, 43.09619903564453, 37.83485794067383, 49.765403747558594, 50.53072738647461, 55.251712799072266, 60.117820739746094, 68.73859405517578, 66.9071273803711, 60.77509689331055, 58.54279327392578]","[0.04887218028306961, 0.03759398311376572, 0.033834587782621384, 0.015037594363093376, 0.030075188726186752, 0.03759398311376572, 0.04887218028306961, 0.02631578966975212, 0.02631578966975212, 0.060150377452373505, 0.02631578966975212, 0.02631578966975212, 0.030075188726186752, 0.02255639061331749, 0.030075188726186752, 0.04135338217020035, 0.033834587782621384, 0.033834587782621384, 0.01879699155688286, 0.05639097839593887, 0.02255639061331749, 0.033834587782621384, 0.033834587782621384, 0.02631578966975212, 0.03759398311376572, 0.02631578966975212, 0.060150377452373505, 0.030075188726186752, 0.01879699155688286, 0.04135338217020035]","[0.04477611929178238, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.04477611929178238, 0.02985074557363987, 0.014925372786819935, 0.05970149114727974, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.05970149114727974, 0.02985074557363987, 0.04477611929178238, 0.04477611929178238, 0.04477611929178238, 0.05970149114727974, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.05970149114727974, 0.05970149114727974, 0.02985074557363987, 0.04477611929178238, 0.014925372786819935, 0.02985074557363987, 0.05970149114727974, 0.0]","[None, None, None, None, 209.04026794433594, None, None, None, None, 95.5680160522461, None, None, None, None, 91.03921508789062, None, None, None, None, 43.790283203125, None, None, None, None, 51.79854965209961, None, None, None, None, 59.891231536865234]","[None, None, None, None, 0.032407406717538834, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.14814814925193787, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.0]"
