Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Test Loss (every 10 epochs),Test Accuracy (every 10 epochs)
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[7.518589496612549, 6.945976257324219, 5.571999549865723, 5.538395881652832, 5.096606731414795, 5.557717323303223, 5.755101680755615, 5.693707466125488, 5.8130340576171875, 5.8949875831604, 6.259868621826172, 5.635618686676025, 6.097747325897217, 6.217059135437012, 6.38222074508667, 5.934852123260498, 5.7460618019104, 5.5345988273620605, 5.949326515197754, 5.690398216247559, 6.0329108238220215, 6.89697265625, 6.425561428070068, 6.525014400482178, 6.585544109344482]","[8.514819145202637, 5.06736421585083, 6.174858570098877, 5.524312973022461, 5.59848165512085, 5.819663047790527, 6.210387706756592, 5.31583833694458, 5.81027889251709, 5.564302921295166, 5.565834999084473, 4.869965553283691, 6.846436023712158, 6.41240119934082, 5.767064094543457, 5.118491172790527, 5.588690280914307, 5.762496471405029, 6.305275917053223, 7.355443477630615, 5.371241569519043, 6.886892795562744, 7.104772090911865, 7.051215648651123, 5.42927885055542]","[0.015037594363093376, 0.02255639061331749, 0.02255639061331749, 0.03759398311376572, 0.02255639061331749, 0.030075188726186752, 0.03759398311376572, 0.033834587782621384, 0.033834587782621384, 0.01879699155688286, 0.015037594363093376, 0.03759398311376572, 0.02631578966975212, 0.02255639061331749, 0.030075188726186752, 0.011278195306658745, 0.02631578966975212, 0.02255639061331749, 0.04511278122663498, 0.03759398311376572, 0.02255639061331749, 0.033834587782621384, 0.030075188726186752, 0.02255639061331749, 0.030075188726186752]","[0.04477611929178238, 0.04477611929178238, 0.014925372786819935, 0.02985074557363987, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.02985074557363987, 0.08955223858356476, 0.08955223858356476, 0.02985074557363987, 0.04477611929178238, 0.014925372786819935, 0.02985074557363987, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.02985074557363987, 0.02985074557363987, 0.05970149114727974, 0.04477611929178238, 0.014925372786819935, 0.04477611929178238]","[None, None, None, None, 4.811715602874756, None, None, None, None, 6.410125732421875, None, None, None, None, 6.006201267242432, None, None, None, None, 9.348759651184082, None, None, None, None, 6.490192413330078]","[None, None, None, None, 0.013888888992369175, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.009259259328246117]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5.86513614654541, 5.287298679351807, 5.384030342102051, 5.5206828117370605, 5.183633804321289, 4.892836093902588, 4.6511549949646, 4.774225234985352, 4.980501174926758, 5.418732166290283, 5.064255237579346, 5.6761088371276855, 5.047139644622803, 4.745680809020996, 4.7918853759765625, 4.563261985778809, 4.825642108917236, 5.409133434295654, 5.5104169845581055, 5.621002197265625, 5.701380252838135, 4.823418140411377, 4.833512306213379, 5.084710121154785, 4.928585052490234]","[5.983078479766846, 5.059454917907715, 5.590343952178955, 4.931781768798828, 4.402482986450195, 4.641507148742676, 5.010098457336426, 5.021627902984619, 5.595292091369629, 4.7981767654418945, 4.457833290100098, 5.024110317230225, 4.859707355499268, 4.9359846115112305, 4.348245620727539, 5.404942989349365, 5.48569917678833, 4.486929416656494, 5.832679271697998, 5.850527286529541, 5.062283039093018, 4.989760875701904, 5.57053279876709, 5.186711311340332, 5.323320388793945]","[0.01879699155688286, 0.01879699155688286, 0.03759398311376572, 0.01879699155688286, 0.030075188726186752, 0.030075188726186752, 0.03759398311376572, 0.033834587782621384, 0.04511278122663498, 0.01879699155688286, 0.033834587782621384, 0.01879699155688286, 0.02255639061331749, 0.02631578966975212, 0.015037594363093376, 0.02631578966975212, 0.01879699155688286, 0.02631578966975212, 0.030075188726186752, 0.02255639061331749, 0.033834587782621384, 0.01879699155688286, 0.015037594363093376, 0.030075188726186752, 0.04511278122663498]","[0.04477611929178238, 0.02985074557363987, 0.04477611929178238, 0.04477611929178238, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.05970149114727974, 0.05970149114727974, 0.02985074557363987, 0.014925372786819935, 0.02985074557363987, 0.0746268630027771, 0.014925372786819935, 0.02985074557363987, 0.0, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.0]","[None, None, None, None, 4.381062030792236, None, None, None, None, 4.494060039520264, None, None, None, None, 4.790658473968506, None, None, None, None, 5.4849772453308105, None, None, None, None, 6.187541961669922]","[None, None, None, None, 0.05092592537403107, None, None, None, None, 0.023148147389292717, None, None, None, None, 0.004629629664123058, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.0]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[4.627309322357178, 5.640307903289795, 6.0932440757751465, 5.966012477874756, 5.188986778259277, 5.328878402709961, 5.120316982269287, 5.058689117431641, 5.155570983886719, 5.000570774078369, 5.112475395202637, 5.659122943878174, 4.917118549346924, 4.702949047088623, 4.409671783447266, 4.642657279968262, 4.4217329025268555, 4.526006698608398, 4.516061782836914, 4.2656426429748535, 4.340427398681641, 4.362017631530762, 4.407533645629883, 4.755270481109619, 4.1284565925598145]","[5.689180374145508, 6.118867874145508, 6.813690662384033, 5.213138580322266, 5.524000644683838, 5.105308532714844, 5.508363723754883, 5.189384460449219, 5.472078323364258, 5.345306396484375, 5.725870609283447, 5.1276397705078125, 4.661661148071289, 4.285155773162842, 4.594158172607422, 4.186095237731934, 4.410459518432617, 4.80306339263916, 4.436851978302002, 4.6578874588012695, 4.160994529724121, 4.139554977416992, 4.781523704528809, 4.145445346832275, 4.281542778015137]","[0.033834587782621384, 0.05263157933950424, 0.02631578966975212, 0.02631578966975212, 0.02255639061331749, 0.02631578966975212, 0.030075188726186752, 0.033834587782621384, 0.02631578966975212, 0.02631578966975212, 0.02631578966975212, 0.01879699155688286, 0.033834587782621384, 0.030075188726186752, 0.02631578966975212, 0.033834587782621384, 0.04511278122663498, 0.030075188726186752, 0.02631578966975212, 0.01879699155688286, 0.030075188726186752, 0.011278195306658745, 0.04511278122663498, 0.030075188726186752, 0.030075188726186752]","[0.04477611929178238, 0.02985074557363987, 0.02985074557363987, 0.014925372786819935, 0.04477611929178238, 0.02985074557363987, 0.04477611929178238, 0.02985074557363987, 0.014925372786819935, 0.02985074557363987, 0.02985074557363987, 0.014925372786819935, 0.014925372786819935, 0.05970149114727974, 0.04477611929178238, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.02985074557363987, 0.04477611929178238]","[None, None, None, None, 5.416414260864258, None, None, None, None, 5.702308177947998, None, None, None, None, 4.3267502784729, None, None, None, None, 4.601543426513672, None, None, None, None, 4.144304275512695]","[None, None, None, None, 0.03703703731298447, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.05092592537403107, None, None, None, None, 0.023148147389292717, None, None, None, None, 0.0833333358168602]"
