Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Test Loss (every 10 epochs),Test Accuracy (every 10 epochs)
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.6876866817474365, 3.713718891143799, 3.7248435020446777, 3.68969464302063, 3.7380757331848145, 3.6826765537261963, 3.631301164627075, 3.648101568222046, 3.706040143966675, 3.624894618988037, 3.654082775115967, 3.6909210681915283, 3.7043819427490234, 3.7679882049560547, 3.774486780166626, 3.6915907859802246, 3.6604697704315186, 3.6583008766174316, 3.7238762378692627, 3.700873613357544, 3.6139614582061768, 3.600283145904541, 3.596724271774292, 3.620204448699951, 3.64811110496521]","[3.580286979675293, 3.61407470703125, 3.6572422981262207, 3.5780375003814697, 3.476609945297241, 3.5860166549682617, 3.4000084400177, 3.5595712661743164, 3.618828535079956, 3.433452606201172, 3.6671290397644043, 3.5289289951324463, 3.57914400100708, 3.4854178428649902, 3.579824686050415, 3.4567315578460693, 3.5638418197631836, 3.5916171073913574, 3.50631046295166, 3.4732751846313477, 3.4134631156921387, 3.5412216186523438, 3.4773025512695312, 3.410931348800659, 3.438018560409546]","[0.030075188726186752, 0.02631578966975212, 0.030075188726186752, 0.01879699155688286, 0.02631578966975212, 0.01879699155688286, 0.02255639061331749, 0.01879699155688286, 0.033834587782621384, 0.015037594363093376, 0.01879699155688286, 0.02631578966975212, 0.011278195306658745, 0.003759398590773344, 0.02631578966975212, 0.02631578966975212, 0.007518797181546688, 0.033834587782621384, 0.02631578966975212, 0.011278195306658745, 0.02255639061331749, 0.01879699155688286, 0.033834587782621384, 0.015037594363093376, 0.015037594363093376]","[0.02985074557363987, 0.02985074557363987, 0.04477611929178238, 0.05970149114727974, 0.014925372786819935, 0.05970149114727974, 0.05970149114727974, 0.0, 0.05970149114727974, 0.014925372786819935, 0.0, 0.02985074557363987, 0.04477611929178238, 0.02985074557363987, 0.014925372786819935, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.0746268630027771, 0.05970149114727974, 0.0, 0.0, 0.04477611929178238, 0.014925372786819935]","[None, None, None, None, 3.6907155513763428, None, None, None, None, 3.691150188446045, None, None, None, None, 3.398435354232788, None, None, None, None, 3.554131031036377, None, None, None, None, 3.5716779232025146]","[None, None, None, None, 0.046296294778585434, None, None, None, None, 0.046296294778585434, None, None, None, None, 0.023148147389292717, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.023148147389292717]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.5799834728240967, 3.669735908508301, 3.6858794689178467, 3.6269659996032715, 3.6140329837799072, 3.548839569091797, 3.551208257675171, 3.5427212715148926, 3.548980474472046, 3.541386604309082, 3.588902711868286, 3.6136622428894043, 3.582441568374634, 3.5527381896972656, 3.534407138824463, 3.5650901794433594, 3.5111892223358154, 3.555008888244629, 3.5126724243164062, 3.502471685409546, 3.5482184886932373, 3.5586459636688232, 3.5612387657165527, 3.495985507965088, 3.5953707695007324]","[3.713275194168091, 3.461225986480713, 3.47037672996521, 3.4503302574157715, 3.5612664222717285, 3.370551347732544, 3.498953342437744, 3.4503369331359863, 3.476693630218506, 3.4220480918884277, 3.5308189392089844, 3.418863296508789, 3.499868392944336, 3.469731330871582, 3.4103329181671143, 3.5057730674743652, 3.432007312774658, 3.4479429721832275, 3.4109890460968018, 3.4480724334716797, 3.4173524379730225, 3.4064388275146484, 3.4630143642425537, 3.5556817054748535, 3.335310697555542]","[0.02631578966975212, 0.02255639061331749, 0.030075188726186752, 0.04135338217020035, 0.033834587782621384, 0.033834587782621384, 0.03759398311376572, 0.033834587782621384, 0.033834587782621384, 0.02631578966975212, 0.030075188726186752, 0.01879699155688286, 0.04511278122663498, 0.02255639061331749, 0.030075188726186752, 0.03759398311376572, 0.02631578966975212, 0.030075188726186752, 0.01879699155688286, 0.02255639061331749, 0.033834587782621384, 0.03759398311376572, 0.02255639061331749, 0.03759398311376572, 0.01879699155688286]","[0.014925372786819935, 0.0, 0.05970149114727974, 0.05970149114727974, 0.014925372786819935, 0.05970149114727974, 0.05970149114727974, 0.05970149114727974, 0.0, 0.04477611929178238, 0.0, 0.04477611929178238, 0.04477611929178238, 0.0746268630027771, 0.014925372786819935, 0.02985074557363987, 0.014925372786819935, 0.04477611929178238, 0.05970149114727974, 0.0, 0.014925372786819935, 0.05970149114727974, 0.014925372786819935, 0.04477611929178238, 0.05970149114727974]","[None, None, None, None, 3.4705963134765625, None, None, None, None, 3.541015863418579, None, None, None, None, 3.417142629623413, None, None, None, None, 3.425503730773926, None, None, None, None, 3.5689375400543213]","[None, None, None, None, 0.046296294778585434, None, None, None, None, 0.004629629664123058, None, None, None, None, 0.046296294778585434, None, None, None, None, 0.05092592537403107, None, None, None, None, 0.013888888992369175]"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[3.547171115875244, 3.6319520473480225, 3.640200614929199, 3.6228950023651123, 3.58476185798645, 3.537940263748169, 3.5412933826446533, 3.521906614303589, 3.5595703125, 3.5162761211395264, 3.580465793609619, 3.4966206550598145, 3.5325608253479004, 3.575010061264038, 3.489077091217041, 3.5457284450531006, 3.523966073989868, 3.4797918796539307, 3.55485463142395, 3.4817042350769043, 3.504784345626831, 3.5018720626831055, 3.5081470012664795, 3.5777344703674316, 3.4811744689941406]","[3.794548511505127, 3.621253252029419, 3.6769163608551025, 3.4808290004730225, 3.4001591205596924, 3.423959732055664, 3.53741192817688, 3.540447235107422, 3.511868715286255, 3.516554832458496, 3.4844017028808594, 3.5143275260925293, 3.62436580657959, 3.530104398727417, 3.439183235168457, 3.4558346271514893, 3.4913458824157715, 3.493581533432007, 3.4107308387756348, 3.444211959838867, 3.5523266792297363, 3.584721565246582, 3.472240686416626, 3.4232542514801025, 3.4920449256896973]","[0.030075188726186752, 0.02631578966975212, 0.02631578966975212, 0.011278195306658745, 0.02631578966975212, 0.02255639061331749, 0.015037594363093376, 0.02255639061331749, 0.030075188726186752, 0.04887218028306961, 0.04135338217020035, 0.033834587782621384, 0.04135338217020035, 0.015037594363093376, 0.030075188726186752, 0.033834587782621384, 0.033834587782621384, 0.03759398311376572, 0.03759398311376572, 0.060150377452373505, 0.033834587782621384, 0.033834587782621384, 0.033834587782621384, 0.03759398311376572, 0.033834587782621384]","[0.02985074557363987, 0.04477611929178238, 0.014925372786819935, 0.014925372786819935, 0.04477611929178238, 0.02985074557363987, 0.014925372786819935, 0.04477611929178238, 0.0746268630027771, 0.05970149114727974, 0.0, 0.014925372786819935, 0.014925372786819935, 0.014925372786819935, 0.05970149114727974, 0.05970149114727974, 0.05970149114727974, 0.04477611929178238, 0.0746268630027771, 0.02985074557363987, 0.0, 0.04477611929178238, 0.05970149114727974, 0.0746268630027771, 0.02985074557363987]","[None, None, None, None, 3.4659228324890137, None, None, None, None, 3.5424129962921143, None, None, None, None, 3.602548599243164, None, None, None, None, 3.394554376602173, None, None, None, None, 3.480010986328125]","[None, None, None, None, 0.009259259328246117, None, None, None, None, 0.013888888992369175, None, None, None, None, 0.0833333358168602, None, None, None, None, 0.02777777798473835, None, None, None, None, 0.02777777798473835]"
